Gene name,IAS-range,Accession Number,Uniprot ID,Referecne (PMID/uniprot),Protein Length,Domain,Domain-range,Comments,ENST,Canonical_Source,Protein name,Gene names,Protein length,Species,Autoinhibitory regions,References,Description (Refer to H and I),Evidence,Structure?,PDB, 
,,,Q9FF77,,,,,,,,Probable pectinesterase/pectinesterase inhibitor 47 [Includes: Pectinesterase inhibitor 47 (Pectin methylesterase inhibitor 47); Pectinesterase 47 (PE 47) (EC 3.1.1.11) (Pectin methylesterase 47) (AtPME47)],PME47 ARATH47 At5g04970 MUG13.17,624,Arabidopsis thaliana (Mouse-ear cress),85-236(PMEI region),,Annotation identified by sequence similarity was extracted from UniProt. The PMEI region may act as an autoinhibitory domain.,Annotated by sequence similarity,,,
,,,Q5MFV8,,,,,,,,Pectinesterase 5 (PE 5) (EC 3.1.1.11) (Pectin methylesterase 5) (AtPME5) (Pectin methylesterase 67) (AtPME67) (Protein VANGUARD 1),PME5 ARATH67 VGD1 At2g47040 F14M4.13,595,Arabidopsis thaliana (Mouse-ear cress),39-186(PMEI region),,Annotation identified by sequence similarity was extracted from UniProt. The PMEI region may act as an autoinhibitory domain.,Annotated by sequence similarity,,,
,,,Q9LXD9,,,,,,,,Probable pectinesterase/pectinesterase inhibitor 51 [Includes: Pectinesterase inhibitor 51 (Pectin methylesterase inhibitor 51); Pectinesterase 51 (PE 51) (EC 3.1.1.11) (Pectin methylesterase 51) (AtPME51)],PME51 ARATH51 At5g09760 F17I14.50,551,Arabidopsis thaliana (Mouse-ear cress),43-189(PMEI region),,Annotation identified by sequence similarity was extracted from UniProt. The PMEI region may act as an autoinhibitory domain.,Annotated by sequence similarity,,,
,,,Q3E989,,,,,,,,Probable pectinesterase/pectinesterase inhibitor 54 [Includes: Pectinesterase inhibitor 54 (Pectin methylesterase inhibitor 54); Pectinesterase 54 (PE 54) (EC 3.1.1.11) (Pectin methylesterase 54) (AtPME54)],PME54 ARATH54 At5g20860 F22D1.30,512,Arabidopsis thaliana (Mouse-ear cress),33-193(PMEI region),,Annotation identified by sequence similarity was extracted from UniProt. The PMEI region may act as an autoinhibitory domain.,Annotated by sequence similarity,,,
,,,Q9FJ21,,,,,,,,Probable pectinesterase/pectinesterase inhibitor 58 [Includes: Pectinesterase inhibitor 58 (Pectin methylesterase inhibitor 58); Pectinesterase 58 (PE 58) (EC 3.1.1.11) (Pectin methylesterase 58) (AtPME58)],PME58 ARATH58 At5g49180 K21P3.5,571,Arabidopsis thaliana (Mouse-ear cress),53-204(PMEI region),,Annotation identified by sequence similarity was extracted from UniProt. The PMEI region may act as an autoinhibitory domain.,Annotated by sequence similarity,,,
,,,Q9FHN5,,,,,,,,Probable pectinesterase/pectinesterase inhibitor 59 [Includes: Pectinesterase inhibitor 59 (Pectin methylesterase inhibitor 59); Pectinesterase 59 (PE 59) (EC 3.1.1.11) (Pectin methylesterase 59) (AtPME59)],PME59 ARATH59 At5g51490 K17N15.4,536,Arabidopsis thaliana (Mouse-ear cress),33-183(PMEI region),,Annotation identified by sequence similarity was extracted from UniProt. The PMEI region may act as an autoinhibitory domain.,Annotated by sequence similarity,,,
,,,O49298,,,,,,,,Probable pectinesterase/pectinesterase inhibitor 6 [Includes: Pectinesterase inhibitor 6 (Pectin methylesterase inhibitor 6); Pectinesterase 6 (PE 6) (EC 3.1.1.11) (Pectin methylesterase 6) (AtPME6)],PME6 ARATH6 At1g23200 T26J12.4,554,Arabidopsis thaliana (Mouse-ear cress),34-183(PMEI region),,Annotation identified by sequence similarity was extracted from UniProt. The PMEI region may act as an autoinhibitory domain.,Annotated by sequence similarity,,,
,,,Q9FHN4,,,,,,,,Probable pectinesterase/pectinesterase inhibitor 60 [Includes: Pectinesterase inhibitor 60 (Pectin methylesterase inhibitor 60); Pectinesterase 60 (PE 60) (EC 3.1.1.11) (Pectin methylesterase 60) (AtPME60)],PME60 ARATH60 At5g51500 K17N15.5,540,Arabidopsis thaliana (Mouse-ear cress),36-185(PMEI region),,Annotation identified by sequence similarity was extracted from UniProt. The PMEI region may act as an autoinhibitory domain.,Annotated by sequence similarity,,,
,,,Q9FK05,,,,,,,,Probable pectinesterase/pectinesterase inhibitor 61 [Includes: Pectinesterase inhibitor 61 (Pectin methylesterase inhibitor 61); Pectinesterase 61 (PE 61) (EC 3.1.1.11) (AtPMEpcrF) (Pectin methylesterase 61) (AtPME61)],PME61 ARATH61 At5g53370 K19E1.17,587,Arabidopsis thaliana (Mouse-ear cress),73-223(PMEI region),,Annotation identified by sequence similarity was extracted from UniProt. The PMEI region may act as an autoinhibitory domain.,Annotated by sequence similarity,,,
,,,Q8L7Q7,,,,,,,,Probable pectinesterase/pectinesterase inhibitor 64 [Includes: Pectinesterase inhibitor 64 (Pectin methylesterase inhibitor 64); Pectinesterase 64 (PE 64) (EC 3.1.1.11) (Pectin methylesterase 64) (AtPME64)],PME64 ARATH64 At5g64640 MUB3.16,602,Arabidopsis thaliana (Mouse-ear cress),91-237(PMEI region),,Annotation identified by sequence similarity was extracted from UniProt. The PMEI region may act as an autoinhibitory domain.,Annotated by sequence similarity,,,
,,,Q9SRX4,,,,,,,,Probable pectinesterase/pectinesterase inhibitor 7 [Includes: Pectinesterase inhibitor 7 (Pectin methylesterase inhibitor 7); Pectinesterase 7 (PE 7) (EC 3.1.1.11) (Pectin methylesterase 1) (AtPME1) (Pectin methylesterase 7)],PME7 ARATH1 At1g02810 F22D16.20,579,Arabidopsis thaliana (Mouse-ear cress),26-185(PMEI region),,Annotation identified by sequence similarity was extracted from UniProt. The PMEI region may act as an autoinhibitory domain.,Annotated by sequence similarity,,,
,,,Q43143,,,,,,,,Pectinesterase/pectinesterase inhibitor U1 [Includes: Pectinesterase inhibitor U1 (Pectin methylesterase inhibitor U1); Pectinesterase U1 (PE U1) (EC 3.1.1.11) (Pectin methylesterase U1)],PMEU1,583,Solanum lycopersicum (Tomato) (Lycopersicon esculentum),64-221(PMEI region),,Annotation identified by sequence similarity was extracted from UniProt. The PMEI region may act as an autoinhibitory domain.,Annotated by sequence similarity,,,
,,,Q88RG5,,,,,,,,GGDEF domain protein,PP_0165,648,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),171-400(HAMP-GGDEF),21304926,"Bis-(39-59) cyclic dimeric guanosine monophosphate (c-d-GMP) is a monocyclic RNA dinucleotide controlling biofilm formation via a transmembrane receptor LapD, a periplasmic cysteine protease LapG, and surface adhesin protein LapA depending on the level of phosphate in the medium. When the phosphate level is low, LapD is held in the “off” state by interactions of their EAL domain (LapD 399-648), with the S helix (LapD 171-238) and the GGDEF domain (LapD 238-399), which allows the proteolytic reaction of LapA on the cell surface, and consequently biofilm dispersal. Interaction of c-d-GMP to the phosphodiesterase binding site on the EAL domain is required to stimulate the receptor (LapD) by release the S helix and the GGDEF domain facilitating the formation of a trans-subunit dimer interface, the binding of LapG to LapD’s output domain, and consequently permitting the activation of LapA to form biofilm. ",Annotated by sequence similarity,,,
,,,P63329,,,,,,,,Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform (EC 3.1.3.16) (CAM-PRP catalytic subunit) (Calmodulin-dependent calcineurin A subunit alpha isoform),Ppp3ca Calna,521,Rattus norvegicus (Rat),407-414(Autoinhibitory Segment);465-487(Autoinhibitory Domain),"10766794, 26794871","Annotation was made based on sequence similarity with Ppp3ca(P63328, Mus musculus). Calcium-dependent, calmodulin-stimulated protein phosphatase (PPP3CA) plays a role in the transduction of intracellular Ca2+-dependent signals. This protein contains two autoinhibitory regions, which interfere with the function of the catalytic domain: autoinhibitory segment(407-414, AIS), autoinhibitory domain(467-487, AID). AIS interact with a hydrophobic groove formed at the junction of CNA and CNB subunits, and the predominantly hydrophobic interactions recruiting AIS mainly involve residues from the N-terminal region of BBH and the preceding loop in CNA (352-365), and the C-terminal helix of the third EF-hand motif and the following linker region in CNB(115-123). The subsequent binding of CaM leads to displacement of AID from the active site and full CN activation",Annotated by sequence similarity,,,
,,,Q60676,,,,,,,,Serine/threonine-protein phosphatase 5 (PP5) (EC 3.1.3.16) (Protein phosphatase T) (PPT),Ppp5c,499,Mus musculus (Mouse),28-129(N-terminal tetratricopeptide repeat);495-499(C-terminal autoinhibitory region),"15577939, 11523989","Protein phosphatase 5 (Ppp5) is a serine/threonine protein phosphatase comprising a regulatory tetratricopeptide repeat (TPR) domain N-terminal to its phosphatase domain. Ppp5 functions in signaling pathways that control cellular responses to stress, glucocorticoids and DNA damage. Its phosphatase activity is suppressed by an autoinhibited conformation maintained by the TPR domain and a C-terminal subdomain. The TPR domain engages with the catalytic channel of the phosphate domain, restricting access to the catalytic site. This autoinhibited conformation of Ppp5 is stabilized by the C-terminal ?J helix. In a study with rat PPP5C (P53042), the protein also contains a C-terminal regulatory region that may interact with the TPR domain. The autoinhibitory regions were inferred by sequence similarity with the human PPP5C (P53041) and rat PPP5C (P53042).",Annotated by sequence similarity,,,
,,,O43049,,,,,,,,Serine/threonine-protein phosphatase T (PPT) (EC 3.1.3.16),ppt1 SPBC3F6.01c,473,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),5-106(N-terminal tetratricopeptide repeat),,"Annotation identified by sequence similarity was extracted from UniProt. The TPR repeats mediate protein-protein interactions with substrate proteins, but also autoinhibit PPT phosphatase activity.",Annotated by sequence similarity,,,
,,,Q5EG47,,,,,,,,5'-AMP-activated protein kinase catalytic subunit alpha-1 (AMPK subunit alpha-1) (EC 2.7.11.1) (Acetyl-CoA carboxylase kinase) (ACACA kinase) (EC 2.7.11.27) (Hydroxymethylglutaryl-CoA reductase kinase) (HMGCR kinase) (EC 2.7.11.31) (Tau-protein kinase PRKAA1) (EC 2.7.11.26),Prkaa1,559,Mus musculus (Mouse),313-335(Autoinhibitory region),"17088252, 23102217","Annotation was made based on sequence similarity with PRKAA1(Q13131, Homo sapiens). AMP-activated protein kinase acts as an energy sensor, being activated by metabolic stresses and regulating cellular metabolism. AMPK alpha subunit contained an autoinhibitory domain that inhibits the N-terminal kinase domain. Residues 313-335 of AMPK ? not only are responsible for the kinase autoinhibitory function but may also be responsible for full-length kinase degradation.",Annotated by sequence similarity,,,
,,,P54645,,,,,,,,5'-AMP-activated protein kinase catalytic subunit alpha-1 (AMPK subunit alpha-1) (EC 2.7.11.1) (Acetyl-CoA carboxylase kinase) (ACACA kinase) (EC 2.7.11.27) (Hydroxymethylglutaryl-CoA reductase kinase) (HMGCR kinase) (EC 2.7.11.31) (Tau-protein kinase PRKAA1) (EC 2.7.11.26),Prkaa1 Ampk1,559,Rattus norvegicus (Rat),313-335(Autoinhibitory region),"17088252, 23102217","Annotation was made based on sequence similarity with PRKAA1(Q13131, Homo sapiens). AMP-activated protein kinase acts as an energy sensor, being activated by metabolic stresses and regulating cellular metabolism. AMPK alpha subunit contained an autoinhibitory domain that inhibits the N-terminal kinase domain. Residues 313-335 of AMPK ? not only are responsible for the kinase autoinhibitory function but may also be responsible for full-length kinase degradation.",Annotated by sequence similarity,,,
,,,Q5REL1,,,,,,,,cAMP-dependent protein kinase type I-alpha regulatory subunit,PRKAR1A,381,Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii),97-101(Autoinhibitory segment),17614255,"Annotation was made based on sequence similarity with PRKAR1A(P10644, Homo sapiens). PKA is a major intracellular receptor of cAMP and modulates diverse cellular signalings. The N-terminal regulatory domain contains a pseudosubstrate sequence that may interact with the catalytic kinase domain.",Annotated by sequence similarity,,,
,,,P09456,,,,,,,,"cAMP-dependent protein kinase type I-alpha regulatory subunit [Cleaved into: cAMP-dependent protein kinase type I-alpha regulatory subunit, N-terminally processed]",Prkar1a,381,Rattus norvegicus (Rat),97-101(Autoinhibitory segment),17614255,"Annotation was made based on sequence similarity with PRKAR1A(P10644, Homo sapiens). PKA is a major intracellular receptor of cAMP and modulates diverse cellular signalings. The N-terminal regulatory domain contains a pseudosubstrate sequence that may interact with the catalytic kinase domain.",Annotated by sequence similarity,,,
,,,P07802,,,,,,,,"cAMP-dependent protein kinase type I-alpha regulatory subunit [Cleaved into: cAMP-dependent protein kinase type I-alpha regulatory subunit, N-terminally processed]",PRKAR1A,380,Sus scrofa (Pig),96-100(Autoinhibitory segment),17614255,"Annotation was made based on sequence similarity with PRKAR1A(P10644, Homo sapiens). PKA is a major intracellular receptor of cAMP and modulates diverse cellular signalings. The N-terminal regulatory domain contains a pseudosubstrate sequence that may interact with the catalytic kinase domain.",Annotated by sequence similarity,,,
,,,P05696,,,,,,,,Protein kinase C alpha type (PKC-A) (PKC-alpha) (EC 2.7.11.13),Prkca Pkca,672,Rattus norvegicus (Rat),19-36(Pseudosubstrate site),"18923184, 28049730, 2253627, 2153665","Annotation was made based on sequence similarity with PRKCA(P17252, Homo sapiens). PRKCA encodes for Protein kinase C (PKC) alpha type, belongs to the PCKs family, is involved in various cellular processes, including cell growth, immune response, muscle contraction, and synaptic plasticity. The well-known autoinhibitory region of PKC family is the pseudosubstrate sequence at around residues 19-36, which directly interacts and blocks catalytic activity of the kinase domain. Subsequence to the pseudosubstrate site is the C1 domains (C1A and C1B, that bind diacylglycerol (DAG)), and C2 domain (bind anionic phospholipids in a Ca2+-dependent manner). C1a (residues 37-89) domain coordinates a network of domain-domain intramolecular interactions, including direct C1a-C2 contacts. The pseudosubstrate and C1a domains operate as a single functional unit and is necessary to maintain autoinhibition. Additionally, in the absence of the C1a domain there is a significant increase in basal activity.",Annotated by sequence similarity,,,
,,,P20444,,,,,,,,Protein kinase C alpha type (PKC-A) (PKC-alpha) (EC 2.7.11.13),Prkca Pkca,672,Mus musculus (Mouse),19-36(Pseudosubstrate site),"18923184, 28049730, 2253627, 2153665","Annotation was made based on sequence similarity with PRKCA(P17252, Homo sapiens). PRKCA encodes for Protein kinase C (PKC) alpha type, belongs to the PCKs family, is involved in various cellular processes, including cell growth, immune response, muscle contraction, and synaptic plasticity. The well-known autoinhibitory region of PKC family is the pseudosubstrate sequence at around residues 19-36, which directly interacts and blocks catalytic activity of the kinase domain. Subsequence to the pseudosubstrate site is the C1 domains (C1A and C1B, that bind diacylglycerol (DAG)), and C2 domain (bind anionic phospholipids in a Ca2+-dependent manner). C1a (residues 37-89) domain coordinates a network of domain-domain intramolecular interactions, including direct C1a-C2 contacts. The pseudosubstrate and C1a domains operate as a single functional unit and is necessary to maintain autoinhibition. Additionally, in the absence of the C1a domain there is a significant increase in basal activity.",Annotated by sequence similarity,,,
,,,Q62101,,,,,,,,Serine/threonine-protein kinase D1 (EC 2.7.11.13) (Protein kinase C mu type) (Protein kinase D) (nPKC-D1) (nPKC-mu),Prkd1 Pkcm Pkd Prkcm,918,Mus musculus (Mouse),428-547(PH domain),12637538,Protein kinase D (PKD) is a member of Ser/Thr kinases and plays a major role in Golgi function and organization. The PH domain within the PKD may autoinhibit the function of the PKD.  The autoinhibitory region was annotated by sequence similarity with the PH domain of PRKD1 (Q15139).,Annotated by sequence similarity,,,
,,,Q8K1Y2,,,,,,,,Serine/threonine-protein kinase D3 (EC 2.7.11.13) (Protein kinase C nu type) (nPKC-nu),Prkd3 Prkcn,889,Mus musculus (Mouse),416-532(PH domain),12637538,Protein kinase D (PKD) is a member of Ser/Thr kinases and plays a major role in Golgi function and organization. The PH domain within the PKD may autoinhibit the function of the PKD.  The autoinhibitory region was annotated by sequence similarity with the PH domain of PRKD1 (Q15139).,Annotated by sequence similarity,,,
,,,P00516,,,,,,,,cGMP-dependent protein kinase 1 (cGK 1) (cGK1) (EC 2.7.11.12) (cGMP-dependent protein kinase I) (cGKI),PRKG1 PRKG1B PRKGR1A PRKGR1B,671,Bos taurus (Bovine),50-57(Autoinhibitory region),1653962,Annotation identified by sequence similarity was extracted from UniProt. PKG is a major intracellular receptor of cGMP and modulates diverse cellular signalings. The N-terminal regulatory domain contains a pseudosubstrate sequence that may interact with the catalytic kinase domain. Binding of cGMP to cGMP-binding domains results in a conformational change that activates kinase activity by removing the autoinhibitory domain from the catalytic cleft leaving the catalytic domain free to phosphorylate downstream substrates.,Annotated by sequence similarity,,,
,,,Q9WVS6,,,,,,,,E3 ubiquitin-protein ligase parkin (EC 2.3.2.31) (Parkin RBR E3 ubiquitin-protein ligase),Prkn Park2,464,Mus musculus (Mouse),377-408(REP domain);409-464(RING2 domain),,"Parkin functions within a multiprotein E3 ubiquitin ligase complex, catalyzing the covalent attachment of ubiquitin moieties onto substrate proteins. In the autoinhibited state the side chain of Phe-463 inserts into a hydrophobic groove in RING-0, occluding the ubiquitin acceptor site Cys-431, whereas the REP repressor element binds RING-1 and blocks its E2-binding site. The autoinhibitory regions were mapped by sequence similarity with rat Parkin (Q9JK66).",Annotated by sequence similarity,,,
,,,Q1IGT7,,,,,,,,Putative signal transduction protein GGDEF/EAL domain,PSEEN0139,648,Pseudomonas entomophila (strain L48),171-400(HAMP and GGDEF domain),21304926,"Bis-(39-59) cyclic dimeric guanosine monophosphate (c-d-GMP) is a monocyclic RNA dinucleotide controlling biofilm formation via a transmembrane receptor LapD, a periplasmic cysteine protease LapG, and surface adhesin protein LapA depending on the level of phosphate in the medium. When the phosphate level is low, LapD is held in the “off” state by interactions of their EAL domain (LapD 399-648) with the S helix (LapD 171-238) and the GGDEF domain (LapD 238-399), which allows the proteolytic reaction of LapA on the cell surface, and consequently biofilm dispersal. Interaction of c-d-GMP to the phosphodiesterase binding site on the EAL domain is required to stimulate the receptor (LapD) by releasing the S helix and the GGDEF domain, facilitating the formation of a trans-subunit dimer interface, the binding of LapG to LapD’s output domain, and consequently permitting the activation of LapA to form biofilm. ",Annotated by sequence similarity,,,
,,,P34152,,,,,,,,Focal adhesion kinase 1 (FADK 1) (EC 2.7.10.2) (Focal adhesion kinase-related nonkinase) (FRNK) (Protein-tyrosine kinase 2) (p125FAK) (pp125FAK),Ptk2 Fadk Fak Fak1 Kiaa4203,1052,Mus musculus (Mouse),35-355(FERM domain),"27790061, 17574028","Focal adhesion kinase (FAK) is a non-receptor kinase that controls the migration, proliferation, and survival of cells. A human homologous FAK (Q05397) contains an N-terminal FERM domain, a kinase domain, and a C-terminal focal adhesion-targeting (FAT) domain. LRRK2 directly binds to and phosphorylates the threonine 474 of FAK, thereby inhibiting the phosphorylation of FAK at tyrosine 397 residue, which is a marker of its activation. The T474 phosphorylation induces a conformational change, enabling its N-terminal FERM domain to autoinhibit Y397 phosphorylation. Deletion of the FERM domain increases Y397 phosphorylation.",Annotated by sequence similarity,,,
,,,O35346,,,,,,,,Focal adhesion kinase 1 (FADK 1) (EC 2.7.10.2) (Focal adhesion kinase-related nonkinase) (FRNK) (Protein-tyrosine kinase 2) (p125FAK) (pp125FAK),Ptk2 Fak Fak1,1055,Rattus norvegicus (Rat),35-355(FERM domain),"27790061, 17574028","Focal adhesion kinase (FAK) is a non-receptor kinase that controls the migration, proliferation, and survival of cells. A human homologous FAK (Q05397) contains an N-terminal FERM domain, a kinase domain, and a C-terminal focal adhesion-targeting (FAT) domain. LRRK2 directly binds to and phosphorylates the threonine 474 of FAK, thereby inhibiting the phosphorylation of FAK at tyrosine 397 residue, which is a marker of its activation. The T474 phosphorylation induces a conformational change, enabling its N-terminal FERM domain to autoinhibit Y397 phosphorylation. Deletion of the FERM domain increases Y397 phosphorylation.",Annotated by sequence similarity,,,
,,,Q90687,,,,,,,,Tyrosine-protein phosphatase non-receptor type 11 (EC 3.1.3.48) (SH-PTP2) (cSH-PTP2),PTPN11,593,Gallus gallus (Chicken),1-103(N-SH2 domain),"20648242, 21365683","Annotation was made based on sequence similarity with PTPN11(Q06124, Homo sapiens). SHPTP2 is a widely-expressed Src homology 2 (SH2) domain-containing protein tyrosine phosphatase (PTP) that is important for normal cell development. It plays a critical role in a variety of signal transduction pathways, including growth factor-mediated cell proliferation Regulation of SHPTP2 activity is, in part, achieved by an intramolecular interaction between the PTP domain of the protein, which contains the catalytic site, and the N-SH2 domain leading to a ?losed protein conformation and autoinhibition. Accordingly, ?pening of the N-SH2 and PTP domains is required for the protein to become active. The binding of phosphopeptides to the N-SH2 domain is known to induce the opening event.",Annotated by sequence similarity,,,
,,,P35235,,,,,,,,Tyrosine-protein phosphatase non-receptor type 11 (EC 3.1.3.48) (Protein-tyrosine phosphatase SYP) (SH-PTP2) (SHP-2) (Shp2),Ptpn11,593,Mus musculus (Mouse),1-103(N-SH2 domain),"20648242, 21365683","Annotation was made based on sequence similarity with PTPN11(Q06124, Homo sapiens). SHPTP2 is a widely-expressed Src homology 2 (SH2) domain-containing protein tyrosine phosphatase (PTP) that is important for normal cell development. It plays a critical role in a variety of signal transduction pathways, including growth factor-mediated cell proliferation Regulation of SHPTP2 activity is, in part, achieved by an intramolecular interaction between the PTP domain of the protein, which contains the catalytic site, and the N-SH2 domain leading to a ?losed protein conformation and autoinhibition. Accordingly, ?pening of the N-SH2 and PTP domains is required for the protein to become active. The binding of phosphopeptides to the N-SH2 domain is known to induce the opening event.",Annotated by sequence similarity,,,
,,,P41499,,,,,,,,Tyrosine-protein phosphatase non-receptor type 11 (EC 3.1.3.48) (Protein-tyrosine phosphatase 1D) (PTP-1D) (Protein-tyrosine phosphatase SYP) (SH-PTP2) (SHP-2) (Shp2),Ptpn11,593,Rattus norvegicus (Rat),1-103(N-SH2 domain),"20648242, 21365683","Annotation was made based on sequence similarity with PTPN11(Q06124, Homo sapiens). SHPTP2 is a widely-expressed Src homology 2 (SH2) domain-containing protein tyrosine phosphatase (PTP) that is important for normal cell development. It plays a critical role in a variety of signal transduction pathways, including growth factor-mediated cell proliferation Regulation of SHPTP2 activity is, in part, achieved by an intramolecular interaction between the PTP domain of the protein, which contains the catalytic site, and the N-SH2 domain leading to a ?losed protein conformation and autoinhibition. Accordingly, ?pening of the N-SH2 and PTP domains is required for the protein to become active. The binding of phosphopeptides to the N-SH2 domain is known to induce the opening event.",Annotated by sequence similarity,,,
,,,P40352,,,,,,,,DNA repair and recombination protein RAD26 (EC 3.6.4.12) (ATP-dependent helicase RAD26),RAD26 GTA1085 YJR035W J1606,1085,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),12-65(Leucine latch motif),25512493,Annotated by sequence similarity with Rhp26 (Q9UR24). Rhp26 is a model protein related to CSB/ERCC6 (Cockayne syndrome B protein/excision repair cross complementation group 6) proteins with key roles in gene expression and DNA repair system. The leucine latch motif at the N-terminus of Rhp26 is responsible for the autoinhibition of the ATPase and chromatin-remodelling activity through its interactions with lobe 2 of the core ATPase domain. The disruption of the leucine latch motif or deletion of the N terminus eliminates the autoinhibition of ATPase and remarkably enhances the chromatin remodelling activity resulting in a hyperactive Rhp26. ,Annotated by sequence similarity,,,
,,,A7E3S4,,,,,,,,RAF proto-oncogene serine/threonine-protein kinase (EC 2.7.11.1) (Proto-oncogene c-RAF) (cRaf) (Raf-1),RAF1,648,Bos taurus (Bovine),51-186(RBD domain and CRD domain),"9689060, 15710605, 12551923, 19948477","Raf proteins are Ras-regulated serine/threonine protein kinases that control the activation of the ERK/MARK cascade, and consists of three isoforms, A-Raf, B-Raf, and Raf-1 (C-Raf), which exhibit a high degree of homology within three conserved regions (CR) known as CR1, CR2, and CR3. In studies with human RAF1 (P04049), when the catalytic domain of Raf-1 is expressed alone, it exhibits a constutive activity. Raf-1 is regulated by an N-terminal autoinhibitory domain including RBD and CRD domains. The autoinhibitory region blocks the catalytic kinase domain (CR3) and the autoinhibition is interrupted by the interaction with Ras.",Annotated by sequence similarity,,,
,,,Q5R5M7,,,,,,,,RAF proto-oncogene serine/threonine-protein kinase (EC 2.7.11.1) (Proto-oncogene c-RAF) (cRaf) (Raf-1),RAF1,648,Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii),51-186(RBD domain and CRD domain),"9689060, 15710605, 12551923, 19948477","Raf proteins are Ras-regulated serine/threonine protein kinases that control the activation of the ERK/MARK cascade, and consists of three isoforms, A-Raf, B-Raf, and Raf-1 (C-Raf), which exhibit a high degree of homology within three conserved regions (CR) known as CR1, CR2, and CR3. In studies with human RAF1 (P04049), when the catalytic domain of Raf-1 is expressed alone, it exhibits a constutive activity. Raf-1 is regulated by an N-terminal autoinhibitory domain including RBD and CRD domains. The autoinhibitory region blocks the catalytic kinase domain (CR3) and the autoinhibition is interrupted by the interaction with Ras.",Annotated by sequence similarity,,,
,,,Q99N57,,,,,,,,RAF proto-oncogene serine/threonine-protein kinase (EC 2.7.11.1) (Proto-oncogene c-RAF) (cRaf) (Raf-1),Raf1 Craf,648,Mus musculus (Mouse),51-186(RBD domain and CRD domain),"9689060, 15710605, 12551923, 19948477","Raf proteins are Ras-regulated serine/threonine protein kinases that control the activation of the ERK/MARK cascade, and consists of three isoforms, A-Raf, B-Raf, and Raf-1 (C-Raf), which exhibit a high degree of homology within three conserved regions (CR) known as CR1, CR2, and CR3. In studies with human RAF1 (P04049), when the catalytic domain of Raf-1 is expressed alone, it exhibits a constutive activity. Raf-1 is regulated by an N-terminal autoinhibitory domain including RBD and CRD domains. The autoinhibitory region blocks the catalytic kinase domain (CR3) and the autoinhibition is interrupted by the interaction with Ras.",Annotated by sequence similarity,,,
,,,P11345,,,,,,,,RAF proto-oncogene serine/threonine-protein kinase (EC 2.7.11.1) (Proto-oncogene c-RAF) (cRaf) (Raf-1),Raf1 Raf,648,Rattus norvegicus (Rat),51-186(RBD domain and CRD domain),"9689060, 15710605, 12551923, 19948477","Raf proteins are Ras-regulated serine/threonine protein kinases that control the activation of the ERK/MARK cascade, and consists of three isoforms, A-Raf, B-Raf, and Raf-1 (C-Raf), which exhibit a high degree of homology within three conserved regions (CR) known as CR1, CR2, and CR3. In studies with human RAF1 (P04049), when the catalytic domain of Raf-1 is expressed alone, it exhibits a constutive activity. Raf-1 is regulated by an N-terminal autoinhibitory domain including RBD and CRD domains. The autoinhibitory region blocks the catalytic kinase domain (CR3) and the autoinhibition is interrupted by the interaction with Ras.",Annotated by sequence similarity,,,
,,,Q21RY9,,,,,,,,Diguanylate cyclase/phosphodiesterase,Rfer_3764,637,Rhodoferax ferrireducens (strain ATCC BAA-621 / DSM 15236 / T118) (Albidiferax ferrireducens),170-395(HAMP-GGDEF),21304926,"Bis-(39-59) cyclic dimeric guanosine monophosphate (c-d-GMP) is a monocyclic RNA dinucleotide controlling biofilm formation via a transmembrane receptor LapD, a periplasmic cysteine protease LapG, and surface adhesin protein LapA depending on the level of phosphate in the medium. When the phosphate level is low, LapD is held in the “off” state by interactions of their EAL domain (LapD 399-648), with the S helix (LapD 171-238) and the GGDEF domain (LapD 238-399), which allows the proteolytic reaction of LapA on the cell surface, and consequently biofilm dispersal. Interaction of c-d-GMP to the phosphodiesterase binding site on the EAL domain is required to stimulate the receptor (LapD) by release the S helix and the GGDEF domain facilitating the formation of a trans-subunit dimer interface, the binding of LapG to LapD’s output domain, and consequently permitting the activation of LapA to form biofilm. ",Annotated by sequence similarity,,,
,,,Q9CTN4,,,,,,,,Rho-related BTB domain-containing protein 3 (EC 3.6.1.-),Rhobtb3 Kiaa0878,611,Mus musculus (Mouse),420-611(BTB domain),,"Rho GTPases are key regulators of the actin-based cytoskeleton and Rab GTPases are key regulators of membrane traffic. The atypical Rho GTPase family member, RhoBTB3, binds directly to Rab9 GTPase and functions with Rab9 in protein transport from endosomes to the trans Golgi network. In a study with human RhoBTB3 (O94955), full-length RhoBTB3 protein displays 50% the rate of ATP hydrolysis seen for the Rho domain alone, representing autoinhibition in RhoBTB3. Rab9 binding to the C-terminus (residues 420-611, BTB domain) of RhoBTB3 opens the autoinhibited RhoBTB3 protein to permit maximal ATP hydrolysis. ",Annotated by sequence similarity,,,
