Protein name,Gene names,Protein length,Uniprot ID,Species,Autoinhibitory regions,References,Description (Refer to H and I),Evidence,Structure?,PDB
Ribosomal protein S6 kinase beta-1 (S6K-beta-1) (S6K1) (EC 2.7.11.1) (70 kDa ribosomal protein S6 kinase 1) (P70S6K1) (p70-S6K 1),RPS6KB1,527,Q6TJY3,Bos taurus (Bovine),424-527(Autoinhibitory domain),25903132,"Annotation was made based on sequence similarity with RPS6KB1(P23443, Homo sapiens). Phosphorylation of p70 Ribosomal S6 Kinase 1 (RPS6KB1) by cyclin-dependent kinase 5 (Cdk5) is required for dendritic spine morphogenesis in the neuron. There are four serine residues in the autoinhibition domain (424-525) in RPS6KB1. The phosphorylation of RPS6KB1 is stimulated by Cdk5 at residue Ser-422 enabling RPS6KB1 activation via neuronal activity and the neurotrophin BDNF.",Annotated by sequence similarity,,
Ribosomal protein S6 kinase beta-1 (S6K-beta-1) (S6K1) (EC 2.7.11.1) (70 kDa ribosomal protein S6 kinase 1) (P70S6K1) (p70-S6K 1) (Ribosomal protein S6 kinase I) (p70 ribosomal S6 kinase alpha) (p70 S6 kinase alpha) (p70 S6K-alpha) (p70 S6KA),RPS6KB1,525,P67998,Oryctolagus cuniculus (Rabbit),424-525(Autoinhibitory domain),25903132,"Annotation was made based on sequence similarity with RPS6KB1(P23443, Homo sapiens). Phosphorylation of p70 Ribosomal S6 Kinase 1 (RPS6KB1) by cyclin-dependent kinase 5 (Cdk5) is required for dendritic spine morphogenesis in the neuron. There are four serine residues in the autoinhibition domain (424-525) in RPS6KB1. The phosphorylation of RPS6KB1 is stimulated by Cdk5 at residue Ser-422 enabling RPS6KB1 activation via neuronal activity and the neurotrophin BDNF.",Annotated by sequence similarity,,
Ribosomal protein S6 kinase beta-1 (S6K-beta-1) (S6K1) (EC 2.7.11.1) (70 kDa ribosomal protein S6 kinase 1) (P70S6K1) (p70-S6K 1) (Ribosomal protein S6 kinase I) (S6K) (p70 ribosomal S6 kinase alpha) (p70 S6 kinase alpha) (p70 S6K-alpha) (p70 S6KA),Rps6kb1,525,Q8BSK8,Mus musculus (Mouse),424-525(Autoinhibitory domain),25903132,"Annotation was made based on sequence similarity with RPS6KB1(P23443, Homo sapiens). Phosphorylation of p70 Ribosomal S6 Kinase 1 (RPS6KB1) by cyclin-dependent kinase 5 (Cdk5) is required for dendritic spine morphogenesis in the neuron. There are four serine residues in the autoinhibition domain (424-525) in RPS6KB1. The phosphorylation of RPS6KB1 is stimulated by Cdk5 at residue Ser-422 enabling RPS6KB1 activation via neuronal activity and the neurotrophin BDNF.",Annotated by sequence similarity,,
Serine/threonine-protein kinase PLK4 (EC 2.7.11.21) (Polo-like kinase 4) (PLK-4) (Serine/threonine-protein kinase SAK),SAK GD12112,769,B4QK53,Drosophila simulans (Fruit fly),318-380(Linker 1 region),25646492,"Annotation was made based on sequence similarity with SAK(O97143, Drosophila melanogaster ). Polo-like kinase 4 (or serine/threonine-protein kinase) is a master regulator of centriole duplication. The linker region between kinase domain and PB1 domain is involved in autoinhibition by blocking the active site of the kinase domain. Phosphorylation of residues within the linker region relieves autoinhibition.",Annotated by sequence similarity,,
Serine/threonine-protein kinase PLK4 (EC 2.7.11.21) (Polo-like kinase 4) (PLK-4) (Serine/threonine-protein kinase SAK),SAK GG13228,766,B3NE99,Drosophila erecta (Fruit fly),318-378(Linker 1 region),25646492,"Annotation was made based on sequence similarity with SAK(O97143, Drosophila melanogaster ). Polo-like kinase 4 (or serine/threonine-protein kinase) is a master regulator of centriole duplication. The linker region between kinase domain and PB1 domain is involved in autoinhibition by blocking the active site of the kinase domain. Phosphorylation of residues within the linker region relieves autoinhibition.",Annotated by sequence similarity,,
Serine/threonine-protein kinase PLK4 (EC 2.7.11.21) (Polo-like kinase 4) (PLK-4) (Serine/threonine-protein kinase SAK),SAK GM22133,769,B4IAQ8,Drosophila sechellia (Fruit fly),318-380(Linker 1 region),25646492,"Annotation was made based on sequence similarity with SAK(O97143, Drosophila melanogaster ). Polo-like kinase 4 (or serine/threonine-protein kinase) is a master regulator of centriole duplication. The linker region between kinase domain and PB1 domain is involved in autoinhibition by blocking the active site of the kinase domain. Phosphorylation of residues within the linker region relieves autoinhibition.",Annotated by sequence similarity,,
Nuclease SbcCD subunit D,sbcD TM_1635,385,Q9X1X0,Thermotoga maritima (strain ATCC 43589 / DSM 3109 / JCM 10099 / NBRC 100826 / MSB8),359-385(Flexible linker region),25077970,"Bacteriophage T4 Mre11 and Rad50 form a stable Mre11/Rad50 (MR) complex and work cooperatively in repairing DNA double-strand breaks. In the absence of Rad50, the C-terminal Rad50 binding domain (RBD, residues 308-339) of Mre11 is autoinhibited caused by the negatively charged linker (residues 290-339). Rad50 association and deletion of the C-terminus of Mre11 both enhance DNA binding and the nuclease activity of Mre11. The autoinhibitory region in nuclease SbcCD was annotated by sequence similarity of P04521.",Annotated by sequence similarity,,
Diguanylate cyclase/phosphodiesterase / histidine kinase (EC 2.7.3.-),Sden_0378,640,Q12SA3,Shewanella denitrificans (strain OS217 / ATCC BAA-1090 / DSM 15013),172-394(HAMP-GGDEF),21304926,"Bis-(39-59) cyclic dimeric guanosine monophosphate (c-d-GMP) is a monocyclic RNA dinucleotide controlling biofilm formation via a transmembrane receptor LapD, a periplasmic cysteine protease LapG, and surface adhesin protein LapA depending on the level of phosphate in the medium. When the phosphate level is low, LapD is held in the “off” state by interactions of their EAL domain (LapD 399-648) with the S helix (LapD 171-238) and the GGDEF domain (LapD 238-399), which allows the proteolytic reaction of LapA on the cell surface, and consequently biofilm dispersal. Interaction of c-d-GMP to the phosphodiesterase binding site on the EAL domain is required to stimulate the receptor (LapD) by releasing the S helix and the GGDEF domain, facilitating the formation of a trans-subunit dimer interface, the binding of LapG to LapD’s output domain, and consequently permitting the activation of LapA to form biofilm. ",Annotated by sequence similarity,,
Vesicle-trafficking protein SEC22b (ER-Golgi SNARE of 24 kDa) (ERS-24) (ERS24) (SEC22 vesicle-trafficking protein homolog B),Sec22b Ers-24,215,O08595,Cricetulus griseus (Chinese hamster) (Cricetulus barabensis griseus),1-130(N-terminal longin domain),"11309394, 20159557","Annotation was made based on sequence similarity with Sec22b(O08547, Mus musculus). Sec22b is a SNARE involved in endoplasmic reticulum/Golgi membrane traffickingis. The N-terminal region of Sec22b regulates the function of SNARE. In rat SNARE Ykt6 (Q5EGY4), the SNARE core is autoinhibited by N-terminal longin domain.",Annotated by sequence similarity,,
Vesicle-trafficking protein SEC22b (ER-Golgi SNARE of 24 kDa) (ERS-24) (ERS24) (SEC22 vesicle-trafficking protein homolog B) (SEC22 vesicle-trafficking protein-like 1),SEC22B SEC22L1,215,O75396,Homo sapiens (Human),1-130(N-terminal longin domain),"11309394, 20159557","Annotation was made based on sequence similarity with Sec22b(O08547, Mus musculus). Sec22b is a SNARE involved in endoplasmic reticulum/Golgi membrane traffickingis. The N-terminal region of Sec22b regulates the function of SNARE. In rat SNARE Ykt6 (Q5EGY4), the SNARE core is autoinhibited by N-terminal longin domain.",Annotated by sequence similarity,,
Vesicle-trafficking protein SEC22b (SEC22 vesicle-trafficking protein homolog B) (SEC22 vesicle-trafficking protein-like 1),SEC22B SEC22L1,215,Q5RAI9,Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii),1-130(N-terminal longin domain),"11309394, 20159557","Annotation was made based on sequence similarity with Sec22b(O08547, Mus musculus). Sec22b is a SNARE involved in endoplasmic reticulum/Golgi membrane traffickingis. The N-terminal region of Sec22b regulates the function of SNARE. In rat SNARE Ykt6 (Q5EGY4), the SNARE core is autoinhibited by N-terminal longin domain.",Annotated by sequence similarity,,
Vesicle-trafficking protein SEC22b (ER-Golgi SNARE of 24 kDa) (ERS-24) (ERS24) (SEC22 vesicle-trafficking protein homolog B) (SEC22 vesicle-trafficking protein-like 1),Sec22b Sec22l1,215,Q4KM74,Rattus norvegicus (Rat),1-130(N-terminal longin domain),"11309394, 20159557","Annotation was made based on sequence similarity with Sec22b(O08547, Mus musculus). Sec22b is a SNARE involved in endoplasmic reticulum/Golgi membrane traffickingis. The N-terminal region of Sec22b regulates the function of SNARE. In rat SNARE Ykt6 (Q5EGY4), the SNARE core is autoinhibited by N-terminal longin domain.",Annotated by sequence similarity,,
Cytokinesis protein sepA (Forced expression inhibition of growth A) (Protein FH1/2),sepA figA AN6523,1790,P78621,Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) (Aspergillus nidulans),1581-1613(DAD domain),,Annotation identified by sequence similarity was extracted from UniProt. The DAD domain regulates activation via by an autoinhibitory interaction with the GBD/FH3 domain. This autoinhibition is released upon competitive binding of an activated GTPase. The release of DAD allows the FH2 domain to then nucleate and elongate nonbranched actin filaments.,Annotated by sequence similarity,,
"SH3 domain-containing kinase-binding protein 1 (Regulator of ubiquitous kinase) (Ruk) (SH3-containing, expressed in tumorigenic astrocytes)",Sh3kbp1 Ruk Seta,709,Q8R550,Mus musculus (Mouse),381-390(Proline rich motif P1),21446695,"The human CIN85 (Cbl-interacting protein of 85 kDa) is a multifunction adapter or scaffolding protein consisting of three SH3 domains in the N-terminal half of the protein connected by unstructured linkers followed by a proline rich region, a serine rich region, and a coiled coil domain at the C-terminus and plays important roles in both receptor tyrosine kinase downregulation and phosphatidylinositol 3 kinase inhibition. Prevention of the intramolecular interaction of domain C with the proline-rich motif P1 results in the complex formation of CIN85 with specific targets such as Cbl or p85 proteins. The autoinhibitory region in mouse Sh3kbp1 was annotated by sequence similarity of human CIN85.",Annotated by sequence similarity,,
"SH3 domain-containing kinase-binding protein 1 (Regulator of ubiquitous kinase) (Ruk) (SH3-containing, expressed in tumorigenic astrocytes)",Sh3kbp1 Ruk Seta,709,Q925Q9,Rattus norvegicus (Rat),381-390(proline rich motif P1),21446695,"The human CIN85 (Cbl-interacting protein of 85 kDa) is a multifunction adapter or scaffolding protein consisting of three SH3 domains in the N-terminal half of the protein connected by unstructured linkers followed by a proline rich region, a serine rich region, and a coiled coil domain at the C-terminus and plays important roles in both receptor tyrosine kinase downregulation and phosphatidylinositol 3 kinase inhibition. Prevention of the intramolecular interaction of domain C with the proline-rich motif P1 results in the complex formation of CIN85 with specific targets such as Cbl or p85 proteins. The autoinhibitory region in rat Sh3kbp1 was annotated by sequence similarity of human CIN85.",Annotated by sequence similarity,,
RNA polymerase sigma factor SigA,sigA plaC rpoD SAOUHSC_01662,368,P0A0J0,Staphylococcus aureus (strain NCTC 8325 / PS 47),16-90(Sigma-70 factor domain-1),"12000971, 23178120 ","The DNA-dependent RNA polymerase (RNAP) is the principal enzyme of the transcription process, and is a final target in many regulatory pathways that control gene expression in all living organisms. In bacteria, RNAP is responsible for the synthesis of all RNAs in the cell (messenger RNA, ribosomal RNA, transfer RNA, and so on). The bacterial RNAP exists in two forms: core and holoenzyme. The core enzyme has a relative molecular mass of about 400,000, and consists of five subunits: ?-dimer (?2), ?, ?? and ?. They are evolutionarily conserved in sequence, structure and function from bacteria to humans. The binding of initiation factor ? to a RNAP core enzyme results in the formation of a homoenzyme, the active form of RNAP essential for transcription initiation. In the autoinhibited state, ? factor domain-1 packs together with ? factor domain-2 and -4, contrary to the extended conformation that is seen when the protein is part of the RNAP holoenzyme. The ? factor domain-2 mediates sequence-specific interaction with the -10 element in promoter DNA, and plays an important role in melting the double-stranded DNA and the formation of the transcription bubble.",Annotated by sequence similarity,,
NAD-dependent protein deacetylase sirtuin-2 (EC 2.3.1.286) (Regulatory protein SIR2 homolog 2) (SIR2-like protein 2),SIRT2,352,Q5RBF1,Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii),283-315(C-terminal region),26407304,"Annotation was made based on sequence similarity with SIRT2(Q8IXJ6, Homo sapiens). Sirtuin 2 (SIRT2) is a NAD+ dependent deacetylase that has been associated with neurodegeneration and cancer. The C-terminal region of SIRT2 functions as an autoinhibitory region that regulates the deacetylation activity of SIRT2. Phosphorylation at S331 causes large conformational changes in the CT that enhance the autoinhibitory activity of the CT region. This serine residue islocated within the naturally disordered C-terminal region (CT, residues 320-352 in isoform 2).",Annotated by sequence similarity,,
Na(+)/H(+) exchange regulatory cofactor NHE-RF1 (NHERF-1) (Ezrin-radixin-moesin-binding phosphoprotein 50) (EBP50) (Regulatory cofactor of Na(+)/H(+) exchanger) (Sodium-hydrogen exchanger regulatory factor 1) (Solute carrier family 9 isoform A3 regulatory factor 1),SLC9A3R1 NHERF NHERF1 QtsA-18078,358,Q4R6G4,Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey),150-240(PDZ2 domain);242-329(CT domain),20042604,"Annotation was made based on sequence similarity with SLC9A3R1 {ECO:0000312|HGNC:HGNC:11075}(O14745, Homo sapiens). The mammalian Na+/H+ exchange regulatory factor 1 (NHERF1) is a multidomain scaffolding protein essential for regulating the intracellular trafficking and macromolecular assembly of transmembrane ion channels and receptors. NHERF1 is held in an autoinhibited state through intramolecular interactions between PDZ2 and the CT domain that also includes a C-terminal PDZ-binding motif (-SNL). A central feature of NHERF1 is its binding to ezrin and to other ezrin-radixin-moesin (ERM) proteins, forming a communication bridge between plasma membrane proteins and the actin cytoskeleton ezrin modulates the PDZ domains of NHERF1 to assemble multiprotein complexes in a cooperative fashion.",Annotated by sequence similarity,,
E3 ubiquitin-protein ligase SMURF2 (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase SMURF2) (SMAD ubiquitination regulatory factor 2) (SMAD-specific E3 ubiquitin-protein ligase 2),Smurf2,748,A2A5Z6,Mus musculus (Mouse),10-140(C2 phospholipid binding domain),"17719543, 21402695, 16061177","Ubiquitination of proteins is an abundant modification that controls numerous cellular processes. The C2-WW-HECT-domain E3 Smurf2 downregulates transforming growth factor-? (TGF-?) signaling by targeting itself, the adaptor protein Smad7, and TGF-b receptor kinases for degradation. In a human hologous protein, Smurf2 (Q9HAU4), the intramolecular interaction between C2  phospholipid binding domain and HECT domain inhibits the catalytic activity of the HECT domain by obstructing accessibility of the catalytic cysteine of the HECT domain and thus blocking Smurf2-Ub thioester formation.",Annotated by sequence similarity,,
Spermatogenesis-associated protein 13 (APC-stimulated guanine nucleotide exchange factor 2) (Asef2),Spata13,656,Q5DU57,Mus musculus (Mouse),151-210(N-terminal SH3 domain),"1,714,577,317,190,830","SPATA13 is a guanine nucleotide exchange factor (GEF). In human SPATA13 protein (Q96N96), the N-terminal SH3 domain functions as an autoinhibitory module within the protein. ",Annotated by sequence similarity,,
Proto-oncogene tyrosine-protein kinase Src (EC 2.7.10.2) (Proto-oncogene c-Src) (pp60c-src) (p60-Src),SRC SRC1,536,P12931,Homo sapiens (Human),84-145(SH3 domain);249-269(SH2-CD linker);403-430(Activation loop);524-536(C-terminal regulatory tail),"9405157, 15489910, 24103328, 25302671","The Src-family kinases include Src, Hck, Fyn, Lyn, Lck, Yes, Fgr, Blk and Frk. They are involved in diverse cellular functions such as immune responses and cell survival and proliferation. Autoinhibition of Src is achieved by the intramolecular interaction between N-terminal SH3 domain and the linker between SH2 domain and catalytic domain, and another intramolecular interaction between SH2 domain and C-terminal tail.",Annotated by sequence similarity,,
E3 ubiquitin-protein ligase SspH2 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase SspH2) (Salmonella secreted protein H2) (Secreted effector protein sspH2),sspH2 STM14_2769,788,D0ZPH9,Salmonella typhimurium (strain 14028s / SGSC 2262),223-466(LRR domain),19273841,"SspH2, consisting of an LRR domain and a NEL domain, is an E3 ubiquitin ligase with unique folding. The NEL domain has a catalytic activity that is inhibited by the LRR domain by sequestering the catalytic cysteine ??residue contained in the NEL domain. The autoinhibitory region was inferred by sequence similarity with the salmonella typhimurium LT2 SspH2 (P0CE12).",Annotated by sequence similarity,,
Stromal interaction molecule 1,STIM1,683,Q58CP9,Bos taurus (Bovine),61-198(EF-SAM domain);236-341(Acidic motif),"21217057, 21081754","Annotation was made based on sequence similarity with STIM1(Q13586, Homo sapiens). STIM1 stimulates calcium ion (Ca2+) entry through plasma membrane Orai1 channels in response to decreased Ca2+ concentrations in the endoplasmic reticulum lumen, and STIM1 and Orai1 are important for T cell activation, platelet aggregation and skeletal muscle development. The N-terminal luminal segment of STIM1 contains EF-hand and SAM (sterile ? motif) domain and the C-terminal segment contains two putative coiled-coil domains (CC1 and CC2), as well as several acidic, serine-proline-rich, and basic segments. An acidic motif within the coiled-coil region keeps STIM1 inactive via an intramolecular interaction with a basic sequence with in CAD/SOAR that has been identified as key for Orai1 activation. The oligomerization of STIM1 unmasks the Orai1 activating domain (CAD/SOAR) by breaking the intramolecular interaction that keeps it inactive in the quiescent STIM1 molecule. Furthermore, it has been reported that stabilizing EF-SAM domains within full-length STIM1 inhibit Ca2+ release-activated Ca2+ (CRAC) entry.",Annotated by sequence similarity,,
Stromal interaction molecule 1,Stim1 Sim,685,P70302,Mus musculus (Mouse),63-200(EF-SAM domain);238-343(Acidic motif),"21217057, 21081754","Annotation was made based on sequence similarity with STIM1(Q13586, Homo sapiens). STIM1 stimulates calcium ion (Ca2+) entry through plasma membrane Orai1 channels in response to decreased Ca2+ concentrations in the endoplasmic reticulum lumen, and STIM1 and Orai1 are important for T cell activation, platelet aggregation and skeletal muscle development. The N-terminal luminal segment of STIM1 contains EF-hand and SAM (sterile ? motif) domain and the C-terminal segment contains two putative coiled-coil domains (CC1 and CC2), as well as several acidic, serine-proline-rich, and basic segments. An acidic motif within the coiled-coil region keeps STIM1 inactive via an intramolecular interaction with a basic sequence with in CAD/SOAR that has been identified as key for Orai1 activation. The oligomerization of STIM1 unmasks the Orai1 activating domain (CAD/SOAR) by breaking the intramolecular interaction that keeps it inactive in the quiescent STIM1 molecule. Furthermore, it has been reported that stabilizing EF-SAM domains within full-length STIM1 inhibit Ca2+ release-activated Ca2+ (CRAC) entry.",Annotated by sequence similarity,,
Stromal interaction molecule 1,Stim1 Sim,685,P84903,Rattus norvegicus (Rat),63-200(EF-SAM domain);238-343(Acidic motif),"21217057, 21081754","Annotation was made based on sequence similarity with STIM1(Q13586, Homo sapiens). STIM1 stimulates calcium ion (Ca2+) entry through plasma membrane Orai1 channels in response to decreased Ca2+ concentrations in the endoplasmic reticulum lumen, and STIM1 and Orai1 are important for T cell activation, platelet aggregation and skeletal muscle development. The N-terminal luminal segment of STIM1 contains EF-hand and SAM (sterile ? motif) domain and the C-terminal segment contains two putative coiled-coil domains (CC1 and CC2), as well as several acidic, serine-proline-rich, and basic segments. An acidic motif within the coiled-coil region keeps STIM1 inactive via an intramolecular interaction with a basic sequence with in CAD/SOAR that has been identified as key for Orai1 activation. The oligomerization of STIM1 unmasks the Orai1 activating domain (CAD/SOAR) by breaking the intramolecular interaction that keeps it inactive in the quiescent STIM1 molecule. Furthermore, it has been reported that stabilizing EF-SAM domains within full-length STIM1 inhibit Ca2+ release-activated Ca2+ (CRAC) entry.",Annotated by sequence similarity,,
Stimulator of interferon genes protein (mSTING) (Endoplasmic reticulum interferon stimulator) (ERIS) (Mediator of IRF3 activation) (MMITA) (Transmembrane protein 173),Sting1 Eris Mita Mpys Sting Tmem173,378,Q3TBT3,Mus musculus (Mouse),339-378(C-terminal regulatory region),22705373,"Stimulator of interferon genes (STING) plays a role as a sensor to directly bind cyclic diguanylate monophosphate (c-di-GMP), the abacterial second message, facilitates innate immune signalling and promotes the production of type I interferon for the first line of defence immune. In human STRING1 (Q86WV6), the autoinhibitory conformation of cytosolic c-di-GMP binding domain (CBD) is formed via the intramolecular interaction with the C-terminal tail (CTT), which hinders the binding of c-di-GMP on STING.",Annotated by sequence similarity,,
Stimulator of interferon genes protein (poSTING) (Transmembrane protein 173),STING1 STING TMEM173,378,B8XX90,Sus scrofa (Pig),339-378(C-terminal regulatory region),22705373,"Stimulator of interferon genes (STING) plays a role as a sensor to directly bind cyclic diguanylate monophosphate (c-di-GMP), the abacterial second message, facilitates innate immune signalling and promotes the production of type I interferon for the first line of defence immune. In human STRING1 (Q86WV6), the autoinhibitory conformation of cytosolic c-di-GMP binding domain (CBD) is formed via the intramolecular interaction with the C-terminal tail (CTT), which hinders the binding of c-di-GMP on STING.",Annotated by sequence similarity,,
Stimulator of interferon genes protein (STING) (Transmembrane protein 173),STING1 STING TMEM173,379,E1C7U0,Gallus gallus (Chicken),345-379(C-terminal regulatory region),22705373,"Stimulator of interferon genes (STING) plays a role as a sensor to directly bind cyclic diguanylate monophosphate (c-di-GMP), the abacterial second message, facilitates innate immune signalling and promotes the production of type I interferon for the first line of defence immune. In human STRING1 (Q86WV6), the autoinhibitory conformation of cytosolic c-di-GMP binding domain (CBD) is formed via the intramolecular interaction with the C-terminal tail (CTT), which hinders the binding of c-di-GMP on STING.",Annotated by sequence similarity,,
Stimulator of interferon genes protein (rSTING) (Transmembrane protein 173),Sting1 Sting Tmem173,379,F1M391,Rattus norvegicus (Rat),340-379(C-terminal regulatory region),22705373,"Stimulator of interferon genes (STING) plays a role as a sensor to directly bind cyclic diguanylate monophosphate (c-di-GMP), the abacterial second message, facilitates innate immune signalling and promotes the production of type I interferon for the first line of defence immune. In human STRING1 (Q86WV6), the autoinhibitory conformation of cytosolic c-di-GMP binding domain (CBD) is formed via the intramolecular interaction with the C-terminal tail (CTT), which hinders the binding of c-di-GMP on STING.",Annotated by sequence similarity,,
Stimulator of interferon genes protein (STING) (Transmembrane protein 173),STING1 STING TMEM173,378,Q2KI99,Bos taurus (Bovine),339-378(C-terminal regulatory region),22705373,"Stimulator of interferon genes (STING) plays a role as a sensor to directly bind cyclic diguanylate monophosphate (c-di-GMP), the abacterial second message, facilitates innate immune signalling and promotes the production of type I interferon for the first line of defence immune. In human STRING1 (Q86WV6), the autoinhibitory conformation of cytosolic c-di-GMP binding domain (CBD) is formed via the intramolecular interaction with the C-terminal tail (CTT), which hinders the binding of c-di-GMP on STING.",Annotated by sequence similarity,,
Serine/threonine-protein kinase 3 (EC 2.7.11.1) (Mammalian STE20-like protein kinase 2) (MST-2) (STE20-like kinase MST2) [Cleaved into: Serine/threonine-protein kinase 3 36kDa subunit (MST2/N); Serine/threonine-protein kinase 3 20kDa subunit (MST2/C)],Stk3 Mess1 Mst2,497,Q9JI10,Mus musculus (Mouse),327-398(Inhibitory domain);442-497(SARAH domain),"21102585, 22042863","Annotation was made based on sequence similarity with STK3(Q13188, Homo sapiens). The Mst1/2 kinases are cytosolic Ste20-related kinases activated by autophosphorylation. Designated class II GC kinases, Mst1 and Mst2, share 76% sequence identity and contain an N-terminal catalytic domain, followed successively by an autoinhibitory segment and a coiled-coil SARAH domain that mediates hetero- and homo-dimerisation. Mst1 and Mst2 also become activated in cells undergoing apoptosis from a variety of stimuli. The activation mechanism is unclear, however, once activated, both kinases undergo cleavage by caspase3 at sites just carboxyterminal to their catalytic domains . The resultant catalytic polypeptides display an altered substrate specificity and lacks their autoinhibitory domain. The caspase-cleaved catalytic fragments are highly and constitutively active with unrestricted nuclear access.",Annotated by sequence similarity,,
Serine/threonine-protein kinase 3 (EC 2.7.11.1) (Mammalian STE20-like protein kinase 2) (MST-2) (STE20-like kinase MST2) [Cleaved into: Serine/threonine-protein kinase 3 36kDa subunit (MST2/N); Serine/threonine-protein kinase 3 20kDa subunit (MST2/C)],Stk3 Mst2,491,O54748,Rattus norvegicus (Rat),327-392(Inhibitory domain);436-491(SARAH domain),"21102585, 22042863","Annotation was made based on sequence similarity with STK3(Q13188, Homo sapiens). The Mst1/2 kinases are cytosolic Ste20-related kinases activated by autophosphorylation. Designated class II GC kinases, Mst1 and Mst2, share 76% sequence identity and contain an N-terminal catalytic domain, followed successively by an autoinhibitory segment and a coiled-coil SARAH domain that mediates hetero- and homo-dimerisation. Mst1 and Mst2 also become activated in cells undergoing apoptosis from a variety of stimuli. The activation mechanism is unclear, however, once activated, both kinases undergo cleavage by caspase3 at sites just carboxyterminal to their catalytic domains . The resultant catalytic polypeptides display an altered substrate specificity and lacks their autoinhibitory domain. The caspase-cleaved catalytic fragments are highly and constitutively active with unrestricted nuclear access.",Annotated by sequence similarity,,
Serine/threonine-protein kinase 38 (EC 2.7.11.1),STK38,465,A2VDV2,Bos taurus (Bovine),265-276(Autoinhibitory segment),"15197186, 15037617","STK38, called Nuclear Dbf2-related kinase 1 (NDR1 protein kinase), is a subclass of the AGC family of protein kinases that are involved in the regulation of cell division and cell morphology. NDR kinase activity is regulated by phosphorylation and by the Ca2+-binding protein, S100B. hMOB1 also stimulates NDR kinase activity and interacts with NDR. NDR kinases have an insert within the catalytic domain between subdomain VII and VIII. The amino acid sequence within the insert shows a high basic amino acid content. This sequence is autoinhibitory and the binding of hMOB1 to the N-terminal domain of NDR induces the release of the autoinhibition.",Annotated by sequence similarity,,
Serine/threonine-protein kinase 38 (EC 2.7.11.1),STK38,465,Q5R8M1,Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii),265-276(Autoinhibitory segment),"15197186, 15037617","STK38, called Nuclear Dbf2-related kinase 1 (NDR1 protein kinase), is a subclass of the AGC family of protein kinases that are involved in the regulation of cell division and cell morphology. NDR kinase activity is regulated by phosphorylation and by the Ca2+-binding protein, S100B. hMOB1 also stimulates NDR kinase activity and interacts with NDR. NDR kinases have an insert within the catalytic domain between subdomain VII and VIII. The amino acid sequence within the insert shows a high basic amino acid content. This sequence is autoinhibitory and the binding of hMOB1 to the N-terminal domain of NDR induces the release of the autoinhibition.",Annotated by sequence similarity,,
Serine/threonine-protein kinase 38 (EC 2.7.11.1) (NDR1 protein kinase) (Nuclear Dbf2-related kinase 1),Stk38 Ndr1,465,Q91VJ4,Mus musculus (Mouse),265-276(Autoinhibitory segment),"15197186, 15037617","STK38, called Nuclear Dbf2-related kinase 1 (NDR1 protein kinase), is a subclass of the AGC family of protein kinases that are involved in the regulation of cell division and cell morphology. NDR kinase activity is regulated by phosphorylation and by the Ca2+-binding protein, S100B. hMOB1 also stimulates NDR kinase activity and interacts with NDR. NDR kinases have an insert within the catalytic domain between subdomain VII and VIII. The amino acid sequence within the insert shows a high basic amino acid content. This sequence is autoinhibitory and the binding of hMOB1 to the N-terminal domain of NDR induces the release of the autoinhibition.",Annotated by sequence similarity,,
Serine/threonine-protein kinase 38-like (EC 2.7.11.1) (NDR2 protein kinase) (Nuclear Dbf2-related kinase 2),Stk38l Ndr2,464,Q7TSE6,Mus musculus (Mouse),265-277(Autoinhibitory segment),"15197186, 15037617","STK38L, called nuclear Dbf2-related kinase 2 (NDR2 protein kinase), is a subclass of the AGC family of protein kinases that are involved in the regulation of cell division and cell morphology. NDR kinase activity is regulated by phosphorylation and by the Ca2+-binding protein, S100B. According to a study with human NDR (Q15208), the N-terminal domain (265-276) of NDR reduced NDR kinase activity. The binding of human MOB1 to the N-terminal domain of NDR induces the release of autoinhibition.",Annotated by sequence similarity,,
Serine/threonine-protein kinase 4 (EC 2.7.11.1) [Cleaved into: Serine/threonine-protein kinase 4 37kDa subunit (MST1/N); Serine/threonine-protein kinase 4 18kDa subunit (MST1/C)],STK4 RCJMB04_17i1,486,Q5ZJK4,Gallus gallus (Chicken),330-393(Inhibitory domain);432-479(SARAH domain),"21102585,22042863, 8702870","Annotation was made based on sequence similarity with STK4(Q13043, Homo sapiens). The Mst1/2 kinases are cytosolic Ste20-related kinases activated by autophosphorylation. Designated class II GC kinases, Mst1 and Mst2, share 76% sequence identity and contain an N-terminal catalytic domain, followed successively by an autoinhibitory segment and a coiled-coil SARAH domain that mediates hetero- and homo-dimerisation. Mst1 and Mst2 also become activated in cells undergoing apoptosis from a variety of stimuli. The activation mechanism is unclear, however, once activated, both kinases undergo cleavage by caspase3 at sites just carboxyterminal to their catalytic domains . The resultant catalytic polypeptides display an altered substrate specificity and lacks their autoinhibitory domain. The caspase-cleaved catalytic fragments are highly and constitutively active with unrestricted nuclear access.",Annotated by sequence similarity,,
