uniprot,cluster,fnat,fnat_correct,fnat_total,fnonnat,fnonnat_nnative,fnonnat_model,irms,lrms,dockq,capri
G0WVH3,U10-002,0.7,163,233,0.094,17,180,11.389,29.691,0.264,Acceptable
P23687,210,0.595,176,296,0.333,88,264,4.072,3.584,0.521,Medium
A0A3B6UEQ0,043,0.642,106,165,0.293,44,150,10.662,31.778,0.243,Acceptable
P23687,373,0.105,31,296,0.733,85,116,13.24,17.135,0.105,Incorrect
P23687,117,0.223,66,296,0.595,97,163,7.705,10.522,0.218,Incorrect
E1K248,021,0.754,138,183,0.27,51,189,4.861,4.65,0.537,Medium
A0A3B6UEQ0,055,0.636,105,165,0.371,62,167,8.964,27.021,0.251,Acceptable
O68880,051,0.86,148,172,0.081,13,161,1.436,1.472,0.784,Medium
H6SG27,243,0.504,116,230,0.448,94,210,8.609,10.893,0.304,Acceptable
Q72AS4,156,0.562,108,192,0.44,85,193,8.937,11.122,0.32,Acceptable
A0A3B6UEQ0,032,0.667,110,165,0.495,108,218,6.956,20.171,0.287,Acceptable
O68880,118,0.872,150,172,0.102,17,167,1.493,1.577,0.78,Medium
Q7KLV9,035,0.311,14,45,0.714,35,49,5.36,21.348,0.174,Incorrect
Q7KLV9,044,0.089,4,45,0.938,60,64,13.932,39.254,0.048,Incorrect
P04807,U100-008,0.893,100,112,0.074,8,108,0.748,2.78,0.866,High
G0WVH3,158,0.064,15,233,0.651,28,43,20.92,26.353,0.055,Incorrect
G0WVH3,193,0.112,26,233,0.829,126,152,24.421,46.33,0.049,Incorrect
P23687,U100-005,0.926,274,296,0.13,41,315,0.64,0.462,0.923,High
E1K248,233,0.404,74,183,0.591,107,181,12.694,13.857,0.231,Acceptable
P14677,122,0.072,8,111,0.619,13,21,32.481,28.65,0.052,Incorrect
Q72AS4,117,0.391,75,192,0.569,99,174,12.553,20.231,0.185,Incorrect
P04807,002,0.5,56,112,0.517,60,116,8.036,9.159,0.332,Acceptable
F2Z6J5,048,0.452,89,197,0.497,88,177,13.378,17.74,0.217,Incorrect
Q9I5E6,U100-007,0.899,277,308,0.104,32,309,0.99,1.313,0.858,High
H6SG27,178,0.161,37,230,0.606,57,94,13.68,18.355,0.116,Incorrect
P14677,087,0.324,36,111,0.566,47,83,21.957,35.321,0.128,Incorrect
Q9I5E6,009,0.36,111,308,0.486,105,216,14.591,18.1,0.184,Incorrect
H6SG27,020,0.209,48,230,0.442,38,86,12.097,20.087,0.125,Incorrect
P23687,297,0.341,101,296,0.471,90,191,4.455,5.006,0.395,Acceptable
E1K248,053,0.59,108,183,0.465,94,202,12.83,17.525,0.265,Acceptable
P23687,251,0.098,29,296,0.678,61,90,12.052,12.186,0.147,Incorrect
P23687,209,0.236,70,296,0.554,87,157,8.639,8.35,0.258,Acceptable
P0AG30,152,0.75,27,36,0.206,7,34,1.6,30.26,0.43,Acceptable
F2Z6J5,219,0.518,102,197,0.485,96,198,11.559,20.525,0.227,Incorrect
A0A0F7R6G7,U10-009,0.812,181,223,0.158,34,215,1.073,3.576,0.774,Medium
P04807,048,0.839,94,112,0.248,31,125,3.843,6.015,0.546,Medium
O68880,076,0.727,125,172,0.256,43,168,2.58,4.026,0.599,Medium
H6SG27,206,0.509,117,230,0.273,44,161,12.062,19.736,0.227,Incorrect
F2Z6J5,032,0.467,92,197,0.538,107,199,11.029,19.643,0.214,Incorrect
P23687,237,0.351,104,296,0.472,93,197,8.305,8.534,0.294,Acceptable
Q72AS4,106,0.13,25,192,0.797,98,123,17.364,26.583,0.077,Incorrect
Q72AS4,142,0.594,114,192,0.484,107,221,10.229,11.957,0.317,Acceptable
H6SG27,205,0.552,127,230,0.262,45,172,9.075,18.441,0.251,Acceptable
A0A0H2WY27,U100-005,0.891,180,202,0.1,20,200,2.503,26.751,0.416,Acceptable
H2E7Q8,U10-000,0.678,97,143,0.312,44,141,1.731,3.037,0.665,Medium
P0AG30,121,0.722,26,36,0.071,2,28,1.645,32.21,0.414,Acceptable
Q72AS4,U100-009,0.891,171,192,0.109,21,192,1.591,1.493,0.777,Medium
Q72AS4,196,0.354,68,192,0.667,136,204,10.462,11.923,0.237,Acceptable
A0A3B6UEQ0,123,0.539,89,165,0.399,59,148,9.279,23.232,0.228,Incorrect
P04807,151,0.661,74,112,0.267,27,101,7.036,8.991,0.392,Acceptable
E1K248,201,0.568,104,183,0.485,98,202,8.838,5.891,0.424,Acceptable
F2Z6J5,136,0.523,103,197,0.411,72,175,10.852,41.274,0.194,Incorrect
F2Z6J5,120,0.579,114,197,0.441,90,204,7.64,20.071,0.256,Acceptable
Q72AS4,040,0.557,107,192,0.518,115,222,10.104,12.064,0.304,Acceptable
A0A0A0V031,014,0.086,19,222,0.725,50,69,15.576,14.628,0.116,Incorrect
P0AG30,000,0.972,35,36,0.054,2,37,0.222,0.598,0.982,High
P04807,080,0.562,63,112,0.315,29,92,12.499,10.532,0.324,Acceptable
Q941M3,U10-005,0.664,166,250,0.178,36,202,4.2,8.126,0.433,Acceptable
A0A140DJY3,U100-007,0.739,207,280,0.123,29,236,8.619,20.512,0.305,Acceptable
P04807,030,0.634,71,112,0.408,49,120,5.907,7.007,0.43,Acceptable
G0WVH3,174,0.094,22,233,0.645,40,62,22.204,35.169,0.051,Incorrect
Q941M3,U100-002,0.848,212,250,0.181,47,259,9.215,19.769,0.343,Acceptable
P59676,U10-000,0.327,36,110,0.4,24,60,17.154,43.268,0.124,Incorrect
Q9I5E6,008,0.373,115,308,0.41,80,195,7.654,11.57,0.254,Acceptable
P04807,145,0.232,26,112,0.675,54,80,8.211,11.546,0.205,Incorrect
E1K248,213,0.481,88,183,0.617,142,230,10.696,10.856,0.293,Acceptable
D9N168,U10-006,0.888,95,107,0.087,9,104,0.687,1.159,0.899,High
G0WVH3,001,0.107,25,233,0.713,62,87,25.316,32.146,0.059,Incorrect
Q72AS4,140,0.448,86,192,0.535,99,185,10.191,12.306,0.264,Acceptable
O16025,U10-006,0.565,65,115,0.278,25,90,16.008,47.382,0.202,Incorrect
E1K248,205,0.628,115,183,0.502,116,231,6.006,5.129,0.473,Acceptable
P0AG30,258,0.889,32,36,0.059,2,34,1.3,16.565,0.556,Medium
P04807,105,0.679,76,112,0.392,49,125,5.126,7.937,0.431,Acceptable
A0A3B6UEQ0,037,0.4,66,165,0.532,75,141,14.005,24.948,0.172,Incorrect
O60729,001,0.536,60,112,0.31,27,87,32.896,23.677,0.217,Incorrect
F2Z6J5,097,0.482,95,197,0.541,112,207,9.227,40.16,0.184,Incorrect
G0WVH3,125,0.107,25,233,0.51,26,51,22.518,31.621,0.06,Incorrect
P04807,207,0.509,57,112,0.367,33,90,7.46,9.423,0.332,Acceptable
P0AG30,030,0.444,16,36,0.579,22,38,9.795,27.031,0.186,Incorrect
P23687,268,0.24,71,296,0.514,75,146,6.791,9.071,0.251,Acceptable
G0WVH3,141,0.086,20,233,0.71,49,69,23.771,66.894,0.035,Incorrect
Q72AS4,012,0.781,150,192,0.223,43,193,4.596,5.525,0.527,Medium
F2Z6J5,193,0.518,102,197,0.41,71,173,7.282,15.687,0.262,Acceptable
H6SG27,263,0.217,50,230,0.468,44,94,10.834,16.36,0.15,Incorrect
O68880,U100-001,0.942,162,172,0.064,11,173,0.423,0.423,0.955,High
P04807,132,0.652,73,112,0.387,46,119,4.191,3.443,0.541,Medium
A0A3B6UEQ0,080,0.745,123,165,0.317,57,180,4.061,32.956,0.309,Acceptable
P14677,046,0.324,36,111,0.265,13,49,19.841,47.322,0.12,Incorrect
O68880,091,0.186,32,172,0.448,26,58,19.239,26.257,0.096,Incorrect
F2Z6J5,191,0.482,95,197,0.489,91,186,8.097,11.523,0.289,Acceptable
F2Z6J5,075,0.442,87,197,0.54,102,189,13.443,13.828,0.243,Acceptable
A0A0A0V031,U100-004,0.721,160,222,0.149,28,188,3.679,4.927,0.537,Medium
E1K248,249,0.426,78,183,0.61,122,200,10.3,14.543,0.234,Acceptable
P23687,323,0.321,95,296,0.525,105,200,4.573,5.22,0.381,Acceptable
Q941M3,U10-004,0.824,206,250,0.198,51,257,9.685,20.924,0.33,Acceptable
P14677,015,0.063,7,111,0.767,23,30,27.688,52.726,0.03,Incorrect
P59676,U100-008,0.909,100,110,0.029,3,103,0.548,1.16,0.924,High
A0A0F7R6G7,U10-005,0.843,188,223,0.21,50,238,2.635,11.509,0.48,Acceptable
F2Z6J5,036,0.695,137,197,0.357,76,213,5.085,8.423,0.427,Acceptable
P14677,098,0.306,34,111,0.244,11,45,19.441,24.452,0.14,Incorrect
Q51504,001,0.078,14,180,0.803,57,71,19.457,25.812,0.061,Incorrect
P23687,260,0.399,118,296,0.366,68,186,7.696,8.863,0.305,Acceptable
O60729,U10-005,0.634,71,112,0.193,17,88,40.549,56.537,0.219,Incorrect
G0WVH3,042,0.073,17,233,0.66,33,50,20.35,30.267,0.05,Incorrect
Q72AS4,138,0.396,76,192,0.472,68,144,7.258,8.892,0.305,Acceptable
Q9I5E6,U10-007,0.731,225,308,0.265,81,306,3.245,4.248,0.569,Medium
H6SG27,027,0.591,136,230,0.367,79,215,7.109,16.552,0.281,Acceptable
Q7KLV9,037,0.067,3,45,0.875,21,24,17.327,46.635,0.035,Incorrect
P04807,031,0.08,9,112,0.947,161,170,13.636,22.172,0.073,Incorrect
G0WVH3,189,0.073,17,233,0.702,40,57,23.538,45.951,0.037,Incorrect
P23687,364,0.223,66,296,0.563,85,151,10.481,10.82,0.208,Incorrect
P23687,221,0.304,90,296,0.505,92,182,6.736,8.687,0.28,Acceptable
H6SG27,156,0.5,115,230,0.378,70,185,9.621,11.56,0.292,Acceptable
P23687,015,0.105,31,296,0.687,68,99,11.498,12.53,0.146,Incorrect
E1K248,013,0.295,54,183,0.606,83,137,11.512,16.473,0.174,Incorrect
Q72AS4,U100-007,0.823,158,192,0.151,28,186,6.988,15.085,0.369,Acceptable
E1K248,009,0.47,86,183,0.653,162,248,8.876,11.072,0.29,Acceptable
P04807,131,0.491,55,112,0.461,47,102,5.501,7.777,0.368,Acceptable
Q72AS4,134,0.5,96,192,0.575,130,226,8.235,13.922,0.268,Acceptable
Q72AS4,039,0.464,89,192,0.341,46,135,14.182,21.877,0.202,Incorrect
A0A3B6UEQ0,108,0.424,70,165,0.545,84,154,13.456,21.852,0.189,Incorrect
P23687,134,0.27,80,296,0.424,59,139,8.705,12.501,0.205,Incorrect
F2Z6J5,040,0.503,99,197,0.357,55,154,9.011,19.524,0.23,Acceptable
G0WVH3,081,0.133,31,233,0.82,141,172,15.642,25.433,0.081,Incorrect
A0A3B6UEQ0,U10-009,0.691,114,165,0.23,34,148,6.312,18.589,0.306,Acceptable
P23687,174,0.25,74,296,0.5,74,148,6.656,8.983,0.257,Acceptable
P14677,118,0.063,7,111,0.781,25,32,26.793,63.004,0.028,Incorrect
P14677,010,0.063,7,111,0.833,35,42,28.797,32.497,0.043,Incorrect
P0AG30,180,0.75,27,36,0.156,5,32,1.438,18.679,0.481,Acceptable
F2Z6J5,187,0.68,134,197,0.38,82,216,5.567,32.566,0.271,Acceptable
Q72AS4,087,0.521,100,192,0.398,66,166,9.707,7.625,0.366,Acceptable
P23687,U10-004,0.777,230,296,0.199,57,287,1.596,1.191,0.742,Medium
G0WVH3,018,0.146,34,233,0.742,98,132,16.056,16.22,0.123,Incorrect
O68880,069,0.802,138,172,0.22,39,177,2.137,2.263,0.689,Medium
P0AG30,078,0.667,24,36,0.273,9,33,1.976,15.847,0.419,Acceptable
Q9I5E6,077,0.292,90,308,0.396,59,149,17.536,25.108,0.134,Incorrect
O16025,U10-002,0.583,67,115,0.302,29,96,15.514,45.289,0.209,Incorrect
A0A3B6UEQ0,110,0.424,70,165,0.557,88,158,10.932,20.441,0.197,Incorrect
P0AG30,013,0.444,16,36,0.304,7,23,2.741,20.967,0.272,Acceptable
P14677,019,0.694,77,111,0.154,14,91,8.613,37.352,0.257,Acceptable
O16025,U10-007,0.548,63,115,0.292,26,89,13.53,44.821,0.198,Incorrect
A0A0H2WY27,015,0.134,27,202,0.662,53,80,14.195,77.812,0.052,Incorrect
P23687,054,0.284,84,296,0.553,104,188,8.993,11.76,0.218,Incorrect
F2Z6J5,005,0.487,96,197,0.495,94,190,9.511,14.786,0.253,Acceptable
P23687,287,0.422,125,296,0.427,93,218,4.675,4.509,0.432,Acceptable
Q72AS4,188,0.344,66,192,0.633,114,180,9.086,19.34,0.177,Incorrect
P0AG30,226,0.861,31,36,0.061,2,33,1.004,9.246,0.67,Medium
Q7KLV9,026,0.911,41,45,0.109,5,46,1.678,10.597,0.582,Medium
F2Z6J5,071,0.472,93,197,0.443,74,167,10.093,15.919,0.239,Acceptable
E1K248,U100-002,0.923,169,183,0.111,21,190,6.411,8.161,0.499,Medium
H6SG27,095,0.126,29,230,0.5,29,58,15.432,23.317,0.084,Incorrect
A0A3B6UEQ0,U100-000,0.915,151,165,0.23,45,196,2.403,30.785,0.422,Acceptable
Q7KLV9,057,0.244,11,45,0.718,28,39,10.53,42.609,0.101,Incorrect
E1K248,092,0.432,79,183,0.559,100,179,15.941,25.114,0.181,Incorrect
F2Z6J5,029,0.518,102,197,0.455,85,187,9.632,15.686,0.256,Acceptable
E1K248,192,0.464,85,183,0.525,94,179,13.382,17.476,0.223,Incorrect
H6SG27,277,0.183,42,230,0.417,30,72,11.309,19.493,0.12,Incorrect
Q72AS4,163,0.474,91,192,0.571,121,212,12.702,14.515,0.248,Acceptable
Q7KLV9,053,0.156,7,45,0.837,36,43,13.369,46.878,0.067,Incorrect
Q72AS4,023,0.646,124,192,0.295,52,176,7.739,9.11,0.382,Acceptable
P04807,U100-002,0.884,99,112,0.161,19,118,0.99,3.376,0.815,High
F2Z6J5,150,0.437,86,197,0.497,85,171,11.065,26.08,0.184,Incorrect
G0WVH3,025,0.107,25,233,0.569,33,58,17.23,27.066,0.068,Incorrect
F2Z6J5,168,0.533,105,197,0.459,89,194,9.124,21.706,0.231,Acceptable
P23687,351,0.108,32,296,0.663,63,95,16.736,18.362,0.098,Incorrect
D9N168,U100-006,0.925,99,107,0.048,5,104,0.557,0.807,0.932,High
P0AG30,257,0.833,30,36,0.062,2,32,1.16,53.485,0.495,Medium
P23687,138,0.287,85,296,0.657,163,248,7.213,8.676,0.273,Acceptable
H6SG27,U100-006,0.861,198,230,0.112,25,223,2.322,4.892,0.635,Medium
P23687,193,0.618,183,296,0.312,83,266,3.116,3.419,0.556,Medium
Q72AS4,200,0.5,96,192,0.505,98,194,7.482,15.108,0.26,Acceptable
Q72AS4,000,0.443,85,192,0.566,111,196,12.2,14.697,0.236,Acceptable
E1K248,209,0.459,84,183,0.604,128,212,9.941,11.793,0.274,Acceptable
O68880,088,0.907,156,172,0.103,18,174,1.289,1.443,0.818,High
P23687,058,0.068,20,296,0.636,35,55,18.101,20.079,0.075,Incorrect
H6SG27,310,0.087,20,230,0.756,62,82,15.259,22.806,0.073,Incorrect
P23687,342,0.105,31,296,0.733,85,116,19.245,29.492,0.062,Incorrect
E1K248,140,0.492,90,183,0.511,94,184,11.069,12.171,0.279,Acceptable
A0A3B6UEQ0,023,0.515,85,165,0.494,83,168,14.063,25.943,0.208,Incorrect
E1K248,U10-001,0.612,112,183,0.398,74,186,9.986,10.027,0.351,Acceptable
A0A3B6UEQ0,111,0.667,110,165,0.333,55,165,11.346,21.184,0.274,Acceptable
Q941M3,017,0.064,16,250,0.5,16,32,23.028,35.996,0.04,Incorrect
F2Z6J5,188,0.503,99,197,0.349,53,152,8.046,16.555,0.248,Acceptable
P14677,121,0.072,8,111,0.771,27,35,23.279,62.014,0.032,Incorrect
P23687,316,0.03,9,296,0.947,161,170,21.312,28.196,0.04,Incorrect
Q9I5E6,U10-002,0.75,231,308,0.238,72,303,2.876,3.794,0.599,Medium
P04807,196,0.625,70,112,0.263,25,95,6.985,10.816,0.35,Acceptable
E1K248,137,0.492,90,183,0.516,96,186,9.989,15.287,0.25,Acceptable
P23687,349,0.439,130,296,0.442,103,233,5.401,3.212,0.462,Acceptable
E1K248,060,0.546,100,183,0.435,77,177,7.323,7.916,0.374,Acceptable
H6SG27,252,0.474,109,230,0.323,52,161,12.209,17.97,0.224,Incorrect
P14677,036,0.324,36,111,0.217,10,46,25.702,49.999,0.119,Incorrect
P23687,011,0.267,79,296,0.543,94,173,9.856,10.201,0.233,Acceptable
Q72AS4,128,0.51,98,192,0.484,92,190,8.015,10.249,0.317,Acceptable
P0AG30,260,0.833,30,36,0.062,2,32,1.021,51.661,0.514,Medium
Q7KLV9,087,0.178,8,45,0.805,33,41,8.11,25.023,0.105,Incorrect
P23687,085,0.199,59,296,0.579,81,140,8.637,11.608,0.193,Incorrect
P04807,129,0.777,87,112,0.202,22,109,2.345,3.446,0.642,Medium
P0AG30,301,0.806,29,36,0.094,3,32,1.53,15.954,0.506,Medium
E1K248,074,0.464,85,183,0.503,86,171,8.076,7.758,0.348,Acceptable
Q7KLV9,061,0.178,8,45,0.864,51,59,5.213,20.145,0.135,Incorrect
Q9I5E6,062,0.474,146,308,0.461,125,271,6.384,10.472,0.308,Acceptable
E1K248,124,0.388,71,183,0.597,105,176,13.08,12.377,0.24,Acceptable
P23687,182,0.304,90,296,0.434,69,159,9.4,9.191,0.263,Acceptable
P04807,091,0.679,76,112,0.315,35,111,4.23,6.239,0.48,Acceptable
H6SG27,U100-002,0.861,198,230,0.15,35,233,2.942,5.419,0.593,Medium
H6SG27,U10-002,0.896,206,230,0.096,22,228,0.755,1.493,0.888,High
P14677,006,0.072,8,111,0.742,23,31,25.167,49.01,0.035,Incorrect
Q72AS4,122,0.365,70,192,0.605,107,177,10.863,21.539,0.173,Incorrect
P23687,044,0.47,139,296,0.401,93,232,3.998,4.724,0.452,Acceptable
P23687,299,0.162,48,296,0.642,86,134,12.416,13.327,0.155,Incorrect
Q9I5E6,U10-001,0.766,236,308,0.175,50,286,2.522,3.082,0.637,Medium
F2Z6J5,010,0.467,92,197,0.638,162,254,12.624,16.16,0.233,Acceptable
E1K248,061,0.546,100,183,0.593,146,246,12.489,21.941,0.23,Acceptable
E1K248,U100-005,0.902,165,183,0.229,49,214,4.698,3.059,0.626,Medium
P59676,001,0.082,9,110,0.866,58,67,28.697,49.414,0.038,Incorrect
P0AG30,176,0.861,31,36,0.279,12,43,1.495,21.025,0.501,Medium
P14677,U10-004,0.324,36,111,0.28,14,50,14.494,41.258,0.125,Incorrect
G0WVH3,149,0.206,48,233,0.607,74,122,13.207,30.22,0.097,Incorrect
E1K248,121,0.448,82,183,0.561,105,187,11.024,6.544,0.365,Acceptable
P0AG30,162,0.556,20,36,0.375,12,32,2.582,14.868,0.351,Acceptable
Q72AS4,U10-007,0.823,158,192,0.288,64,222,5.894,8.695,0.457,Acceptable
F2Z6J5,166,0.513,101,197,0.433,77,178,8.563,35.415,0.199,Incorrect
P23687,212,0.426,126,296,0.442,100,226,4.128,3.82,0.458,Acceptable
G0WVH3,060,0.12,28,233,0.622,46,74,18.258,27.684,0.071,Incorrect
O60729,U10-008,0.741,83,112,0.239,26,109,16.79,25.889,0.282,Acceptable
E1K248,218,0.497,91,183,0.513,96,187,8.961,10.264,0.31,Acceptable
Q72AS4,056,0.354,68,192,0.634,118,186,10.403,16.025,0.198,Incorrect
P04807,176,0.795,89,112,0.176,19,108,1.61,4.599,0.678,Medium
H6SG27,130,0.152,35,230,0.478,32,67,11.34,15.921,0.13,Incorrect
O68880,010,0.913,157,172,0.151,28,185,1.604,1.925,0.777,Medium
P23687,227,0.476,141,296,0.408,97,238,4.168,4.937,0.446,Acceptable
P14677,008,0.324,36,111,0.217,10,46,19.576,27.576,0.139,Incorrect
Q8GN86,U10-003,0.67,128,191,0.344,67,195,8.963,20.318,0.282,Acceptable
E1K248,216,0.503,92,183,0.572,123,215,11.515,14.697,0.257,Acceptable
E1K248,015,0.623,114,183,0.345,60,174,9.668,11.378,0.335,Acceptable
H6SG27,185,0.622,143,230,0.274,54,197,4.447,11.367,0.361,Acceptable
H6SG27,139,0.561,129,230,0.321,61,190,7.324,16.742,0.269,Acceptable
Q941M3,006,0.16,40,250,0.683,86,126,17.634,30.392,0.08,Incorrect
H6SG27,238,0.113,26,230,0.752,79,105,18.041,22.871,0.08,Incorrect
P23687,291,0.014,4,296,0.862,25,29,13.024,17.862,0.07,Incorrect
Q7KLV9,U10-002,0.933,42,45,0.067,3,45,1.131,10.979,0.649,Medium
H6SG27,188,0.287,66,230,0.532,75,141,14.395,26.067,0.131,Incorrect
P14677,103,0.135,15,111,0.595,22,37,24.252,30.346,0.071,Incorrect
P23687,101,0.395,117,296,0.558,148,265,5.557,5.653,0.385,Acceptable
P0AG30,158,0.333,12,36,0.571,16,28,4.703,20.175,0.192,Incorrect
G0WVH3,151,0.129,30,233,0.643,54,84,20.702,44.579,0.056,Incorrect
P0AG30,090,0.917,33,36,0.108,4,37,1.122,16.987,0.586,Medium
F2Z6J5,U10-000,0.584,115,197,0.463,99,214,6.641,20.594,0.259,Acceptable
Q9I5E6,036,0.393,121,308,0.549,147,268,8.672,12.311,0.248,Acceptable
H6SG27,260,0.422,97,230,0.559,123,220,12.04,19.995,0.197,Incorrect
P14677,047,0.324,36,111,0.2,9,45,21.372,59.157,0.116,Incorrect
P0AG30,223,0.861,31,36,0.139,5,36,0.68,26.711,0.594,Medium
A0A140DJY3,U10-000,0.689,193,280,0.165,38,231,1.563,4.263,0.656,Medium
O68880,077,0.657,113,172,0.307,50,163,2.973,3.791,0.565,Medium
H6SG27,305,0.157,36,230,0.65,67,103,13.618,19.679,0.109,Incorrect
Q72AS4,064,0.484,93,192,0.565,121,214,11.03,17.314,0.232,Acceptable
A0A3B6UEQ0,112,0.594,98,165,0.443,78,176,8.56,23.606,0.246,Acceptable
Q7KLV9,097,0.267,12,45,0.692,27,39,9.063,59.556,0.104,Incorrect
P0AG30,089,0.361,13,36,0.629,22,35,2.969,18.356,0.247,Acceptable
F2Z6J5,161,0.376,74,197,0.456,62,136,9.235,18.036,0.194,Incorrect
F2Z6J5,189,0.538,106,197,0.384,66,172,10.721,22.149,0.229,Incorrect
F2Z6J5,052,0.497,98,197,0.484,92,190,8.723,20.718,0.223,Incorrect
E1K248,115,0.536,98,183,0.424,72,170,8.694,8.544,0.354,Acceptable
A0A3B6UEQ0,018,0.77,127,165,0.314,58,185,6.067,21.456,0.321,Acceptable
Q7KLV9,050,0.2,9,45,0.824,42,51,10.15,51.394,0.083,Incorrect
P0AG30,004,0.528,19,36,0.367,11,30,2.46,52.703,0.275,Acceptable
F2Z6J5,134,0.609,120,197,0.426,89,209,6.972,14.993,0.299,Acceptable
P04958,U10-002,0.157,72,458,0.489,69,141,34.06,50.283,0.062,Incorrect
Q9I5E6,066,0.299,92,308,0.391,59,151,14.311,17.695,0.166,Incorrect
P0AG30,232,0.861,31,36,0.139,5,36,1.411,40.537,0.478,Acceptable
A0A3B6UEQ0,039,0.339,56,165,0.671,114,170,21.127,33.508,0.135,Incorrect
P23687,003,0.057,17,296,0.679,36,53,18.487,23.266,0.061,Incorrect
G0WVH3,109,0.103,24,233,0.442,19,43,20.018,26.762,0.067,Incorrect
Q941M3,U100-009,0.848,212,250,0.062,14,226,1.806,4.84,0.67,Medium
F2Z6J5,058,0.376,74,197,0.593,108,182,10.395,20.661,0.18,Incorrect
O68880,064,0.855,147,172,0.169,30,177,1.705,2.191,0.743,Medium
O68880,067,0.924,159,172,0.076,13,172,1.347,1.426,0.817,High
P0AG30,161,0.917,33,36,0.083,3,36,1.008,32.687,0.556,Medium
P23687,347,0.243,72,296,0.604,110,182,10.91,13.066,0.186,Incorrect
F2Z6J5,227,0.442,87,197,0.527,97,184,14.115,33.672,0.171,Incorrect
A0A3B6UEQ0,063,0.552,91,165,0.445,73,164,10.518,44.529,0.202,Incorrect
Q9I5E6,064,0.357,110,308,0.486,104,214,7.166,10.929,0.259,Acceptable
G0WVH3,U10-001,0.914,213,233,0.07,16,229,1.448,4.246,0.744,Medium
P04807,163,0.786,88,112,0.302,38,126,2.331,3.284,0.65,Medium
A0A0A0V031,U100-000,0.802,178,222,0.14,29,207,2.708,3.805,0.623,Medium
A0A3B6UEQ0,119,0.527,87,165,0.488,83,170,9.46,26.43,0.215,Incorrect
G0WVH3,123,0.077,18,233,0.793,69,87,21.535,40.853,0.041,Incorrect
Q72AS4,155,0.359,69,192,0.641,123,192,10.619,13.415,0.222,Incorrect
H6SG27,021,0.117,27,230,0.821,124,151,12.513,23.058,0.084,Incorrect
H6SG27,116,0.639,147,230,0.269,54,201,9.118,17.294,0.287,Acceptable
P23687,109,0.595,176,296,0.341,91,267,3.11,3.183,0.553,Medium
P0AG30,262,0.806,29,36,0.065,2,31,0.97,35.895,0.521,Medium
P59676,000,0.073,8,110,0.771,27,35,32.54,34.68,0.044,Incorrect
G0WVH3,033,0.099,23,233,0.662,45,68,18.023,23.27,0.074,Incorrect
P0AG30,287,0.833,30,36,0.091,3,33,0.898,38.252,0.539,Medium
P23687,325,0.264,78,296,0.547,94,172,7.176,9.572,0.249,Acceptable
P14677,038,0.108,12,111,0.75,36,48,27.709,57.773,0.044,Incorrect
P23687,U10-006,0.814,241,296,0.207,63,304,1.567,1.193,0.758,Medium
P23687,040,0.169,50,296,0.618,81,131,9.529,12.63,0.168,Incorrect
F2Z6J5,087,0.477,94,197,0.544,112,206,9.571,20.319,0.217,Incorrect
P23687,095,0.084,25,296,0.638,44,69,11.615,13.405,0.129,Incorrect
P23687,257,0.159,47,296,0.627,79,126,8.18,10.662,0.193,Incorrect
H6SG27,239,0.091,21,230,0.618,34,55,19.019,28.666,0.059,Incorrect
A0A3B6UEQ0,105,0.467,77,165,0.497,76,153,10.546,25.702,0.195,Incorrect
A0A3B6UEQ0,122,0.309,51,165,0.44,40,91,16.403,25.456,0.139,Incorrect
Q72AS4,160,0.422,81,192,0.537,94,175,9.485,7.833,0.329,Acceptable
G0WVH3,111,0.086,20,233,0.688,44,64,22.452,34.896,0.049,Incorrect
P23687,161,0.179,53,296,0.624,88,141,11.598,11.371,0.185,Incorrect
P14677,U100-004,0.901,100,111,0.01,1,101,0.533,0.784,0.927,High
P04807,144,0.446,50,112,0.545,60,110,9.894,11.312,0.277,Acceptable
A0A3B6UEQ0,038,0.709,117,165,0.255,40,157,7.519,31.368,0.272,Acceptable
P0AG30,164,0.722,26,36,0.161,5,31,1.529,26.82,0.435,Acceptable
Q72AS4,065,0.516,99,192,0.495,97,196,10.52,9.738,0.323,Acceptable
F2Z6J5,205,0.482,95,197,0.51,99,194,13.331,26.544,0.196,Incorrect
P0AG30,256,0.889,32,36,0.111,4,36,1.054,16.951,0.586,Medium
G0WVH3,094,0.099,23,233,0.701,54,77,19.484,29.04,0.061,Incorrect
G0WVH3,186,0.107,25,233,0.561,32,57,19.581,32.079,0.06,Incorrect
P04807,120,0.688,77,112,0.403,52,129,6.457,9.129,0.401,Acceptable
P23687,136,0.118,35,296,0.711,86,121,11.935,12.933,0.145,Incorrect
D9N168,U100-009,0.925,99,107,0.048,5,104,0.474,0.495,0.944,High
E1K248,114,0.514,94,183,0.495,92,186,12.068,13.821,0.268,Acceptable
P04807,U10-009,0.857,96,112,0.232,29,125,1.474,4.593,0.713,Medium
G0WVH3,108,0.124,29,233,0.58,40,69,18.7,36.504,0.061,Incorrect
A0A3B6UEQ0,029,0.697,115,165,0.398,76,191,4.686,26.018,0.295,Acceptable
Q9I5E6,052,0.049,15,308,0.812,65,80,20.174,29.652,0.043,Incorrect
P14677,054,0.18,20,111,0.636,35,55,29.268,64.502,0.067,Incorrect
P0AG30,279,0.861,31,36,0.088,3,34,0.663,33.083,0.587,Medium
P0AG30,212,0.889,32,36,0.086,3,35,0.935,22.73,0.577,Medium
P04807,086,0.455,51,112,0.51,53,104,5.423,6.111,0.395,Acceptable
